nail [neil] гвоздь
name [neim] имя
near [niq] около
neck [nek] шея
need [nid] нуждаться
nephew ['nevju(:)] племянник
never ['nevq] никогда
new [nju] новый
news [njuz] новости
newspaper ['njus,peipq] газета
next [nekst] следующий
nice [nais] милый, славный
niece [nis] племянница
night [nait] ночь
nine [nain] девять
nineteen ['naintin] девятнадцать
ninety ['nainti] девяносто
ninth [nainT] девятый
no [nqu] нет
nobody ['nqub(q)di] никто
noise [nOiz] шум
noisy ['nOizi] шумный
none [nAn] никто, ни один
noon [nun] полдень
north [nPT] север
not [nOt] не
note [nqut] записка
nothing ['nATiN] ничего
notice ['nqutis] сообщение; записка
nought [nPt] ноль
novel ['nOv(q)l] роман
November [nqu'vembq] ноябрь
now [nau] сейчас
nowhere ['nquwFq] нигде
number ['numbq] номер
