page [peiG] страница
paid [peid] прош. вр. от pay
pain [pein] боль
paint [peint] красить
paper ['peipq] бумага
parents ['peqr(q)nt] родители
park [pQk] парк
parliament ['pQlqment] парламент
part [pQt] часть
particular [pq'tikjulq] особый
passenger ['pxsinGq] пассажир
past [pQst] прошедший
pay [pei] платить
pen [pen] ручка
pencil ['pensl] карандаш
people ['pipl] люди
perhaps [pq'hxps] возможно
person ['pqsn] человек
phone [fqun] телефон
piano [pi'xnqu] пианино
picture ['pikCq] картина; фотография
piece [pis] кусок
pig [pig] свинья
pipe [paip] трубка
place [pleis] место
plate [pleit] тарелка
play [plei] играть
pleasant ['pleznt] приятный
please [pliz] пожалуйста
pocket ['pOkit] карман
poem ['pquim] стихотворение
poet ['pquit] поэт
point [pOint] точка
poison ['pOizn] яд
policeman [pq'lismen] полицейский
polite [pq'lait] вежливый
poor [pue] бедный
pot [pOt] кастрюля, горшок
potato [p(q)'teitqu] картофель
pound [paund] фунт
present ['preznt] подарок
pretty ['priti] симпатичный
price [prais] цена
pride [prQid] гордость
probably ['prOb(q)bli] вероятно
promise ['prOmis] обещать
pronounce [prq'nauns] произносить
pronunciation [prq,nAnsi'eiS(q)n] произношение
proud [praud] гордый
public ['pAblik] публика
pull [pul] тянуть
push [puS] толкать
put [put] класть
